[Jan/20/2020 | 13:05:40.105] [LOG]    Starting 2019-11-01
[Jan/20/2020 | 13:05:40.106] [LOG]    69 results for 2019-11-01
[Jan/20/2020 | 13:05:42.769] [LOG]    Starting 2019-11-02
[Jan/20/2020 | 13:05:42.769] [LOG]    48 results for 2019-11-02
[Jan/20/2020 | 13:09:13.441] [LOG]    Starting 2019-11-03
[Jan/20/2020 | 13:09:13.442] [LOG]    17 results for 2019-11-03
[Jan/20/2020 | 13:11:42.083] [LOG]    |2337260|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:11:43.089] [LOG]    |2337260 starting download. . .
[Jan/20/2020 | 13:11:44.744] [LOG]    |2337262|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:11:45.746] [LOG]    |2337262 starting download. . .
[Jan/20/2020 | 13:11:47.823] [LOG]    |2337257|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:11:50.955] [LOG]    |2337259|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:11:53.914] [LOG]    |2337261|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:11:56.955] [LOG]    |2337258|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:11:59.745] [LOG]    |2337541|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:12:05.720] [LOG]    |2337501|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:12:12.248] [LOG]    |2337497|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:12:17.795] [LOG]    |2337498|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:12:23.775] [LOG]    |2337499|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:12:29.699] [LOG]    |2337482|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:12:32.731] [LOG]    |2337481|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:12:35.983] [LOG]    |2337496|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:12:41.786] [LOG]    |2337500|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:12:47.770] [LOG]    |2337542|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:12:54.002] [LOG]    |2337480|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:12:56.752] [LOG]    |2337479|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:12:59.780] [LOG]    |2337539|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:13:05.364] [LOG]    |2337262 archive downloaded
[Jan/20/2020 | 13:13:05.364] [LOG]    |2337262 Extracting . . .
[Jan/20/2020 | 13:13:10.707] [LOG]    |2337539 starting download. . .
[Jan/20/2020 | 13:13:11.159] [LOG]    |2337495|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:13:14.631] [LOG]    94376|2337262|2019-11-01 imported to Map table.
[Jan/20/2020 | 13:13:15.986] [LOG]    |2337491|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:13:21.288] [LOG]    |2337260 archive downloaded
[Jan/20/2020 | 13:13:21.288] [LOG]    |2337260 Extracting . . .
[Jan/20/2020 | 13:13:27.282] [LOG]    |2337491 starting download. . .
[Jan/20/2020 | 13:13:27.832] [LOG]    |2337490|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:13:31.218] [LOG]    94380|2337260|2019-11-01 imported to Map table.
[Jan/20/2020 | 13:13:32.601] [LOG]    |2337494|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:13:38.428] [LOG]    |2337493|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:13:44.453] [LOG]    |2337492|2019-11-01 imported to Match table.
[Jan/20/2020 | 13:13:50.510] [LOG]    |2337477|2019-11-01 imported to Match table.
